,id,full_name,first_name,last_name,is_active
3574,77945,George Reynolds,George,Reynolds,False
3575,77946,Jerry Reynolds,Jerry,Reynolds,False
3576,1631197,Jared Rhoden,Jared,Rhoden,True
3577,77947,Gene Rhodes,Gene,Rhodes,False
3578,1518,Rodrick Rhodes,Rodrick,Rhodes,False
3579,779,Glen Rice,Glen,Rice,False
3580,203318,Glen Rice,Glen,Rice,False
3581,201181,Chris Richard,Chris,Richard,False
3582,1630208,Nick Richards,Nick,Richards,True
3583,77950,Clint Richardson,Clint,Richardson,False
3584,2202,Jason Richardson,Jason,Richardson,False
3585,200978,Jeremy Richardson,Jeremy,Richardson,False
3586,1626196,Josh Richardson,Josh,Richardson,True
3587,1627781,Malachi Richardson,Malachi,Richardson,False
3588,77952,Micheal Ray Richardson,Micheal Ray,Richardson,False
3589,2369,Norman Richardson,Norman,Richardson,False
3590,71,Pooh Richardson,Pooh,Richardson,False
3591,2047,Quentin Richardson,Quentin,Richardson,False
3592,782,Mitch Richmond,Mitch,Richmond,False
3593,77954,John Richter,John,Richter,False
3594,77955,Dick Ricketts,Dick,Ricketts,False
3595,375,Isaiah Rider,Isaiah,Rider,False
3596,77957,Jackie Ridgle,Jackie,Ridgle,False
3597,2557,Luke Ridnour,Luke,Ridnour,False
3598,77958,Mel Riebe,Mel,Riebe,False
3599,77959,Jim Riffey,Jim,Riffey,False
3600,2541,Antoine Rigaudeau,Antoine,Rigaudeau,False
3601,77960,Tom Riker,Tom,Riker,False
3602,77963,Bob Riley,Bob,Riley,False
3603,35,Eric Riley,Eric,Riley,False
3604,77962,Pat Riley,Pat,Riley,False
3605,77964,Ron Riley,Ron,Riley,False
3606,1630203,Grant Riller,Grant,Riller,False
3607,77965,Rich Rinaldi,Rich,Rinaldi,False
3608,77966,Mike Riordan,Mike,Riordan,False
3609,77967,Arnie Risen,Arnie,Risen,False
3610,77968,Goebel Ritter,Goebel,Ritter,False
3611,77969,Ramon Rivas,Ramon,Rivas,False
3612,203085,Austin Rivers,Austin,Rivers,True
3613,77970,David Rivers,David,Rivers,False
3614,470,Doc Rivers,Doc,Rivers,False
3615,77972,Lee Robbins,Lee,Robbins,False
3616,203460,Andre Roberson,Andre,Roberson,False
3617,101194,Anthony Roberson,Anthony,Roberson,False
3618,77973,Rick Roberson,Rick,Roberson,False
3619,2121,Terrance Roberson,Terrance,Roberson,False
3620,77975,Anthony Roberts,Anthony,Roberts,False
3621,77979,Bill Roberts,Bill,Roberts,False
3622,203148,Brian Roberts,Brian,Roberts,False
3623,122,Fred Roberts,Fred,Roberts,False
3624,77977,Joe Roberts,Joe,Roberts,False
3625,101160,Lawrence Roberts,Lawrence,Roberts,False
3626,77978,Marv Roberts,Marv,Roberts,False
3627,914,Stanley Roberts,Stanley,Roberts,False
3628,926,Alvin Robertson,Alvin,Robertson,False
3629,600015,Oscar Robertson,Oscar,Robertson,False
3630,1926,Ryan Robertson,Ryan,Robertson,False
3631,77983,Tony Robertson,Tony,Robertson,False
3632,77984,Rick Robey,Rick,Robey,False
3633,2774,Bernard Robinson,Bernard,Robinson,False
3634,997,Chris Robinson,Chris,Robinson,False
3635,77986,Cliff T. Robinson,Cliff T.,Robinson,False
3636,361,Clifford Robinson,Clifford,Robinson,False
3637,764,David Robinson,David,Robinson,False
3638,1628421,Devin Robinson,Devin,Robinson,False
3639,1629130,Duncan Robinson,Duncan,Robinson,True
3640,1944,Eddie Robinson,Eddie,Robinson,False
3641,77988,Flynn Robinson,Flynn,Robinson,False
3642,299,Glenn Robinson,Glenn,Robinson,False
3643,77989,Jackie Robinson,Jackie,Robinson,False
3644,1554,Jamal Robinson,Jamal,Robinson,False
3645,381,James Robinson,James,Robinson,False
3646,1629010,Jerome Robinson,Jerome,Robinson,False
3647,1629620,Justin Robinson,Justin,Robinson,False
3648,1683,Larry Robinson,Larry,Robinson,False
3649,1629011,Mitchell Robinson,Mitchell,Robinson,True
3650,101126,Nate Robinson,Nate,Robinson,False
3651,77994,Oliver Robinson,Oliver,Robinson,False
3652,1631115,Orlando Robinson,Orlando,Robinson,True
3653,716,Rumeal Robinson,Rumeal,Robinson,False
3654,203080,Thomas Robinson,Thomas,Robinson,False
3655,77993,Truck Robinson,Truck,Robinson,False
3656,77996,Wayne Robinson,Wayne,Robinson,False
3657,203922,Glenn Robinson III,Glenn,Robinson III,False
3658,1630526,Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl,True
3659,77997,Bill Robinzine,Bill,Robinzine,False
3660,77998,Dave Robisch,Dave,Robisch,False
3661,1629676,Isaiah Roby,Isaiah,Roby,True
3662,77999,Red Rocha,Red,Rocha,False
3663,78000,John Roche,John,Roche,False
3664,78001,Gene Rock,Gene,Rock,False
3665,78002,Jack Rocker,Jack,Rocker,False
3666,1631223,David Roddy,David,Roddy,True
3667,78003,Guy Rodgers,Guy,Rodgers,False
3668,23,Dennis Rodman,Dennis,Rodman,False
3669,200771,Sergio Rodriguez,Sergio,Rodriguez,False
3670,691,Lou Roe,Lou,Roe,False
3671,435,Carlos Rogers,Carlos,Rogers,False
3672,78007,Johnny Rogers,Johnny,Rogers,False
3673,78008,Marshall Rogers,Marshall,Rogers,False
3674,915,Rodney Rogers,Rodney,Rogers,False
3675,964,Roy Rogers,Roy,Rogers,False
3676,78010,Al Roges,Al,Roges,False
3677,78011,Ken Rohloff,Ken,Rohloff,False
3678,202375,Magnum Rolle,Magnum,Rolle,False
3679,78012,Kenny Rollins,Kenny,Rollins,False
3680,78013,Phil Rollins,Phil,Rollins,False
3681,1631157,Ryan Rollins,Ryan,Rollins,True
3682,78014,Tree Rollins,Tree,Rollins,False
3683,78015,Lorenzo Romar,Lorenzo,Romar,False
3684,200765,Rajon Rondo,Rajon,Rondo,False
3685,399,Sean Rooks,Sean,Rooks,False
3686,201565,Derrick Rose,Derrick,Rose,True
3687,147,Jalen Rose,Jalen,Rose,False
3688,990,Malik Rose,Malik,Rose,False
3689,78016,Robert Rose,Robert,Rose,False
3690,78017,Alexander Rosenberg,Alexander,Rosenberg,False
3691,78018,Lennie Rosenbluth,Lennie,Rosenbluth,False
3692,78019,Hank Rosenstein,Hank,Rosenstein,False
3693,78020,Dick Rosenthal,Dick,Rosenthal,False
