Season,Lg,Tm,Voting,p1,p2,p3,p4,p5
1989-90,NBA,1st,(V),Joe Dumars,Michael Jordan,Hakeem Olajuwon,Dennis Rodman,Buck Williams
1989-90,NBA,2nd,(V),Derek Harper,Rick Mahorn,Kevin McHale,Alvin Robertson,David Robinson
1988-89,NBA,1st,(V),Joe Dumars,Mark Eaton,Michael Jordan,Larry Nance,Dennis Rodman
1988-89,NBA,2nd,(V),Patrick Ewing,A.C. Green,Kevin McHale,Alvin Robertson,John Stockton
1987-88,NBA,1st,(V),Michael Cooper,Michael Jordan,Rodney McCray,Kevin McHale,Hakeem Olajuwon
1987-88,NBA,2nd,(V),Lafayette Lever,Karl Malone,Alvin Robertson,Buck Williams,Patrick Ewing
1986-87,NBA,1st,(V),Michael Cooper,Dennis Johnson,Kevin McHale,Hakeem Olajuwon,Alvin Robertson
1986-87,NBA,2nd,(V),Maurice Cheeks,Mark Eaton,Derek Harper,Rodney McCray,Paul Pressey
1985-86,NBA,1st,(V),Maurice Cheeks,Mark Eaton,Kevin McHale,Sidney Moncrief,Paul Pressey
1985-86,NBA,2nd,(V),Manute Bol,Michael Cooper,Bill Hanzlik,Dennis Johnson,Alvin Robertson
1984-85,NBA,1st,(V),Maurice Cheeks,Michael Cooper,Mark Eaton,Sidney Moncrief,Paul Pressey
1984-85,NBA,2nd,(V),T.R. Dunn,Dennis Johnson,Bobby Jones,Hakeem Olajuwon,Danny Vranes
1983-84,NBA,1st,(V),Maurice Cheeks,Michael Cooper,Bobby Jones,Sidney Moncrief,Tree Rollins
1983-84,NBA,2nd,(V),Kareem Abdul-Jabbar,Larry Bird,T.R. Dunn,Dennis Johnson,Dan Roundfield
1982-83,NBA,1st,(V),Bobby Jones,Moses Malone,Sidney Moncrief,Dan Roundfield,Maurice Cheeks
1982-83,NBA,2nd,(V),Larry Bird,Michael Cooper,T.R. Dunn,Kevin McHale,Tree Rollins
1981-82,NBA,1st,(V),Michael Cooper,Dennis Johnson,Bobby Jones,Caldwell Jones,Dan Roundfield
1981-82,NBA,2nd,(V),Larry Bird,Quinn Buckner,Sidney Moncrief,Lonnie Shelton,Jack Sikma
1980-81,NBA,1st,(V),Kareem Abdul-Jabbar,Dennis Johnson,Bobby Jones,Caldwell Jones,Micheal Ray Richardson
1980-81,NBA,2nd,(V),Quinn Buckner,George Johnson,Dan Roundfield,Kermit Washington,Dudley Bradley
1979-80,NBA,1st,(V),Kareem Abdul-Jabbar,Dennis Johnson,Bobby Jones,Dan Roundfield,Don Buse
1979-80,NBA,2nd,(V),Quinn Buckner,Dave Cowens,Eddie Johnson,Kermit Washington,Scott Wedman
1978-79,NBA,1st,(V),Kareem Abdul-Jabbar,Don Buse,Bob Dandridge,Dennis Johnson,Bobby Jones
1978-79,NBA,2nd,(V),M.L. Carr,Lionel Hollins,Eddie Johnson,Maurice Lucas,Moses Malone
1977-78,NBA,1st,(V),Don Buse,Lionel Hollins,Bobby Jones,Maurice Lucas,Bill Walton
1977-78,NBA,2nd,(V),Quinn Buckner,E.C. Coleman,Bob Gross,Norm Van Lier,Kareem Abdul-Jabbar
1976-77,NBA,1st,(V),Don Buse,E.C. Coleman,Bobby Jones,Norm Van Lier,Bill Walton
1976-77,NBA,2nd,(V),Kareem Abdul-Jabbar,Jim Brewer,Don Chaney,Brian Taylor,Jamaal Wilkes
1975-76,NBA,1st,(V),Dave Cowens,John Havlicek,Paul Silas,Norm Van Lier,Slick Watts
1975-76,NBA,2nd,(V),Kareem Abdul-Jabbar,Jim Brewer,Jim Cleamons,Phil Smith,Jamaal Wilkes
